rule,p,k,tp,fp,fn,fp_plus_fn
pct1_count_pct_and_processOrLate,1.0,3,15,177,29,206
pct1_or_count_pct,1.0,3,15,177,29,206
pct1_count_pct_and_processOrLate,1.0,2,15,177,29,206
pct1_or_count_pct,1.0,1,15,177,29,206
pct1_or_count_pct,1.0,2,15,177,29,206
pct1_count_pct_and_processOrLate,1.0,1,15,177,29,206
pct1_or_count_pct_or_stage50,1.0,3,22,185,22,207
pct1_or_count_pct_or_stage50,1.0,2,22,185,22,207
pct1_or_count_pct_or_stage50,1.0,1,22,185,22,207
pct1_or_count_pct,0.9,1,15,183,29,212
pct1_or_count_pct_or_stage50,0.9,3,22,190,22,212
pct1_or_count_pct,0.9,3,15,183,29,212
